#Tanggal;Value
"2018-07-26 07:00:00";7575.0
"2018-07-27 07:00:00";7450.0
"2018-07-30 07:00:00";7500.0
"2018-07-31 07:00:00";7400.0
"2018-08-01 07:00:00";7825.0
"2018-08-02 07:00:00";7800.0
"2018-08-03 07:00:00";7900.0
"2018-08-06 07:00:00";8200.0
"2018-08-07 07:00:00";8100.0
"2018-08-08 07:00:00";8100.0
"2018-08-09 07:00:00";7950.0
"2018-08-10 07:00:00";7975.0
"2018-08-13 07:00:00";7400.0
"2018-08-14 07:00:00";7300.0
"2018-08-15 07:00:00";7375.0
"2018-08-16 07:00:00";7075.0
"2018-08-20 07:00:00";7275.0
"2018-08-21 07:00:00";7375.0
"2018-08-23 07:00:00";7550.0
"2018-08-24 07:00:00";7425.0
"2018-08-27 07:00:00";7675.0
"2018-08-28 07:00:00";7875.0
"2018-08-29 07:00:00";7850.0
"2018-08-30 07:00:00";7625.0
"2018-08-31 07:00:00";7800.0
"2018-09-03 07:00:00";7850.0
"2018-09-04 07:00:00";7500.0
"2018-09-05 07:00:00";7075.0
"2018-09-06 07:00:00";7275.0
"2018-09-07 07:00:00";7350.0
"2018-09-10 07:00:00";7275.0
"2018-09-12 07:00:00";7125.0
"2018-09-13 07:00:00";7350.0
"2018-09-14 07:00:00";7525.0
"2018-09-17 07:00:00";7225.0
"2018-09-18 07:00:00";7225.0
"2018-09-19 07:00:00";7175.0
"2018-09-20 07:00:00";7300.0
"2018-09-21 07:00:00";7650.0
"2018-09-24 07:00:00";7375.0
"2018-09-25 07:00:00";7350.0
"2018-09-26 07:00:00";7325.0
"2018-09-27 07:00:00";7350.0
"2018-09-28 07:00:00";7400.0
"2018-10-01 07:00:00";7500.0
"2018-10-02 07:00:00";7275.0
"2018-10-03 07:00:00";7250.0
"2018-10-04 07:00:00";6900.0
"2018-10-05 07:00:00";6875.0
"2018-10-08 07:00:00";6825.0
"2018-10-09 07:00:00";6825.0
"2018-10-10 07:00:00";6950.0
"2018-10-11 07:00:00";6725.0
"2018-10-12 07:00:00";6925.0
"2018-10-15 07:00:00";7050.0
"2018-10-16 07:00:00";7250.0
"2018-10-17 07:00:00";7325.0
"2018-10-18 07:00:00";7200.0
"2018-10-19 07:00:00";7175.0
"2018-10-22 07:00:00";7175.0
"2018-10-23 07:00:00";7125.0
"2018-10-24 07:00:00";7050.0
"2018-10-25 07:00:00";7075.0
"2018-10-26 07:00:00";7100.0
"2018-10-29 07:00:00";7075.0
"2018-10-30 07:00:00";7175.0
"2018-10-31 07:00:00";7325.0
"2018-11-01 07:00:00";7425.0
"2018-11-02 07:00:00";7775.0
"2018-11-05 07:00:00";7600.0
"2018-11-06 07:00:00";7750.0
"2018-11-07 07:00:00";7800.0
"2018-11-08 07:00:00";7900.0
"2018-11-09 07:00:00";8000.0
"2018-11-12 07:00:00";7600.0
"2018-11-13 07:00:00";7900.0
"2018-11-14 07:00:00";8025.0
"2018-11-15 07:00:00";8250.0
